epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.4295,1.97177,3.19188,2.08588,0.01596,0.6,0.38615,0.16817,2.55113,3.14446,2.73501,2.858e-05,2.858e-05,2.858e-05
2,4.69312,2.06917,3.13207,1.99025,0.01617,0.6,0.19082,0.07344,2.63103,3.18032,2.8117,7.00353e-05,7.00353e-05,7.00353e-05
3,5.48131,2.11731,3.20317,2.11794,0.01613,0.6,0.10545,0.03975,2.63642,3.24245,2.80599,0.000109793,0.000109793,0.000109793
4,6.26573,1.98287,3.3091,2.12183,0.02166,0.6,0.1934,0.10257,2.33112,3.12941,2.45591,0.000147853,0.000147853,0.000147853
5,7.09204,1.56083,3.01117,1.74726,0.04348,0.8,0.31054,0.20196,1.75611,3.04565,2.05542,0.000184215,0.000184215,0.000184215
6,8.01832,1.2808,2.69301,1.52434,0.12346,1,0.60315,0.46848,1.09644,2.92341,1.64458,0.00021888,0.00021888,0.00021888
7,8.89296,0.9314,2.24613,1.29005,0.11628,1,0.79258,0.60874,1.05584,2.87479,1.59673,0.000251847,0.000251847,0.000251847
8,9.80465,0.94613,1.95873,1.34977,0.09901,1,0.77868,0.57045,0.83924,2.74848,1.43439,0.000283116,0.000283116,0.000283116
9,11.1386,0.86069,1.76989,1.22077,0.09804,1,0.76831,0.61817,0.82079,2.50683,1.42053,0.000312688,0.000312688,0.000312688
10,12.3145,0.74392,1.4745,1.1486,0.88783,0.5,0.8095,0.57511,0.94102,2.2492,1.46812,0.000340562,0.000340562,0.000340562
11,13.4649,0.63455,1.3099,1.0974,0.92668,0.6,0.8204,0.64226,0.85716,1.88288,1.46435,0.000366739,0.000366739,0.000366739
12,14.449,0.70799,1.3218,1.17295,1,0.67978,0.895,0.706,0.70155,1.58946,1.37198,0.000391217,0.000391217,0.000391217
13,15.7562,0.75965,1.39354,1.15608,0.80983,0.85405,0.895,0.71564,0.73217,1.72013,1.28223,0.000413998,0.000413998,0.000413998
14,16.6792,0.55387,1.00582,1.08275,1,0.88579,0.995,0.80384,0.73431,1.61956,1.25534,0.000435082,0.000435082,0.000435082
15,17.5339,0.55628,1.00398,1.03425,1,0.88579,0.995,0.80384,0.73431,1.61956,1.25534,0.000454468,0.000454468,0.000454468
16,18.4565,0.52488,1.01647,1.06864,0.902,1,0.97682,0.85626,0.56895,1.61526,1.09119,0.000472156,0.000472156,0.000472156
17,19.3997,0.59767,1.0576,1.03907,0.97744,1,0.995,0.89731,0.48513,1.19277,1.05548,0.000488146,0.000488146,0.000488146
18,20.7479,0.53184,0.97155,1.03877,0.97744,1,0.995,0.89731,0.48513,1.19277,1.05548,0.000502439,0.000502439,0.000502439
19,21.9457,0.46736,0.92465,0.92648,1,0.99922,0.995,0.81946,0.73388,1.26113,1.25538,0.000515034,0.000515034,0.000515034
20,23.2054,0.50467,0.94151,1.01476,0.99139,1,0.995,0.82311,0.71057,0.99402,1.2369,0.000525932,0.000525932,0.000525932
21,24.5767,0.57426,0.91157,1.0349,0.99139,1,0.995,0.82311,0.71057,0.99402,1.2369,0.000535132,0.000535132,0.000535132
22,26.0071,0.56945,0.99809,0.99905,0.98769,1,0.995,0.87164,0.60182,0.81929,1.13353,0.000542634,0.000542634,0.000542634
23,27.1258,0.50719,0.88865,1.00275,0.98769,1,0.995,0.87164,0.60182,0.81929,1.13353,0.000548439,0.000548439,0.000548439
24,28.107,0.58658,1.01846,1.12989,0.95515,1,0.995,0.8761,0.41223,1.05213,1.04493,0.000552546,0.000552546,0.000552546
25,29.2123,0.51213,0.89568,0.96765,0.95515,1,0.995,0.8761,0.41223,1.05213,1.04493,0.000554955,0.000554955,0.000554955
26,30.4095,0.59959,0.88201,1.03337,0.99507,1,0.995,0.84459,0.4481,0.89257,1.0119,0.000555667,0.000555667,0.000555667
27,31.7317,0.43119,0.81124,0.95074,0.99507,1,0.995,0.84459,0.4481,0.89257,1.0119,0.000554681,0.000554681,0.000554681
28,32.8856,0.44234,0.81277,0.92523,0.99545,1,0.995,0.97393,0.34689,0.55432,1.01531,0.000551997,0.000551997,0.000551997
29,33.8686,0.46615,0.80436,0.99081,0.99545,1,0.995,0.97393,0.34689,0.55432,1.01531,0.000547616,0.000547616,0.000547616
30,34.8654,0.37115,0.76383,0.93441,0.99545,1,0.995,0.97393,0.34689,0.55432,1.01531,0.000541537,0.000541537,0.000541537
31,35.764,0.45012,0.86018,0.98185,0.99521,1,0.995,0.96329,0.34377,0.51773,1.02671,0.00053376,0.00053376,0.00053376
32,36.7345,0.41243,0.76426,0.92346,0.99521,1,0.995,0.96329,0.34377,0.51773,1.02671,0.000524286,0.000524286,0.000524286
33,37.7679,0.52899,0.86148,1.01273,0.99512,1,0.995,0.8955,0.42954,0.5129,1.03149,0.000513114,0.000513114,0.000513114
34,38.6558,0.50369,0.85225,1.03148,0.99512,1,0.995,0.8955,0.42954,0.5129,1.03149,0.000495291,0.000495291,0.000495291
35,39.6397,0.45416,0.72315,1.01744,0.99512,1,0.995,0.8955,0.42954,0.5129,1.03149,0.000466997,0.000466997,0.000466997
36,40.6596,0.44234,0.76216,1.00055,0.99498,1,0.995,0.95368,0.36207,0.50605,1.01257,0.000438703,0.000438703,0.000438703
37,41.7992,0.44732,0.71126,0.927,0.99498,1,0.995,0.95368,0.36207,0.50605,1.01257,0.000410409,0.000410409,0.000410409
38,42.7039,0.45523,0.79561,0.99917,0.99498,1,0.995,0.95368,0.36207,0.50605,1.01257,0.000382115,0.000382115,0.000382115
39,44.0891,0.43935,0.74499,0.94158,0.99529,1,0.995,0.97585,0.292,0.52308,1.00734,0.00035382,0.00035382,0.00035382
40,45.5406,0.4331,0.73121,0.92923,0.99529,1,0.995,0.97585,0.292,0.52308,1.00734,0.000325526,0.000325526,0.000325526
41,50.4989,0.28999,0.84499,0.90753,0.99537,1,0.995,0.98445,0.23595,0.49876,0.97507,0.000297232,0.000297232,0.000297232
42,51.5807,0.2784,0.80673,0.87184,0.99537,1,0.995,0.98445,0.23595,0.49876,0.97507,0.000268938,0.000268938,0.000268938
43,52.5835,0.42158,0.94963,0.97396,0.99537,1,0.995,0.98445,0.23595,0.49876,0.97507,0.000240644,0.000240644,0.000240644
44,53.699,0.29161,0.78843,0.89293,0.99537,1,0.995,0.97579,0.21836,0.51446,0.96444,0.000212349,0.000212349,0.000212349
45,54.8267,0.25763,0.75396,0.83134,0.99537,1,0.995,0.97579,0.21836,0.51446,0.96444,0.000184055,0.000184055,0.000184055
46,55.9872,0.21962,0.72895,0.8502,0.99537,1,0.995,0.97579,0.21836,0.51446,0.96444,0.000155761,0.000155761,0.000155761
47,57.1397,0.29972,0.75339,0.87458,0.99537,1,0.995,0.97572,0.22121,0.49911,0.96256,0.000127467,0.000127467,0.000127467
48,58.2191,0.26816,0.75371,0.93711,0.99537,1,0.995,0.97572,0.22121,0.49911,0.96256,9.91726e-05,9.91726e-05,9.91726e-05
49,59.2723,0.32878,0.82482,0.9196,0.99526,1,0.995,0.97569,0.2081,0.48408,0.96072,7.08784e-05,7.08784e-05,7.08784e-05
50,60.457,0.21011,0.73813,0.82962,0.99526,1,0.995,0.97569,0.2081,0.48408,0.96072,4.25842e-05,4.25842e-05,4.25842e-05
